Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

New Terminal Output:

root@7242a3b3b87e:/app# ls -la /opt/conda/bin/
total 47500
drwxr-xr-x 2 root root     4096 Feb 12  2025 .
-rwxr-xr-x 1 root root    17240 Aug 17  2023 gencfu
-rwxr-xr-x 1 root root    34960 Aug 17  2023 gencnval
-rwxr-xr-x 1 root root    37288 Aug 17  2023 gendict
-rwxr-xr-x 1 root root   195256 Aug 17  2023 genrb
-rwxr-xr-x 1 root root    31800 Jun 16  2023 gss-client
-rwxr-xr-x 1 root root    22588 Feb 12  2025 icu-config
-rwxr-xr-x 1 root root    75464 Aug 17  2023 icuexportdata
-rwxr-xr-x 1 root root    16864 Aug 17  2023 icuinfo
lrwxrwxrwx 1 root root        8 Feb 12  2025 idle3 -> idle3.12
-rwxr-xr-x 1 root root      100 Feb 12  2025 idle3.12
-rwxr-xr-x 1 root root    63536 Jan 26  2023 infocmp
lrwxrwxrwx 1 root root        3 Feb 12  2025 infotocap -> tic
-rwxr-xr-x 1 root root    25864 Dec 16  2024 installcheck
-rwxr-xr-x 1 root root     1202 Feb 12  2025 jsondiff
-rwxr-xr-x 1 root root     3863 Feb 12  2025 jsonpatch
-rwxr-xr-x 1 root root     1842 Feb 12  2025 jsonpointer
-rwxr-xr-x 1 root root     2004 Jun 16  2023 k5srvutil
-rwxr-xr-x 1 root root    98664 Jun 16  2023 kadmin
-rwxr-xr-x 1 root root    16872 Jun 16  2023 kdestroy
-rwxr-xr-x 1 root root    41200 Jun 16  2023 kinit
-rwxr-xr-x 1 root root    36224 Jun 16  2023 klist
-rwxr-xr-x 1 root root    17176 Jun 16  2023 kpasswd
-rwxr-xr-x 1 root root     7030 Feb 12  2025 krb5-config
-rwsr-xr-x 1 root root    65024 Jun 16  2023 ksu
-rwxr-xr-x 1 root root    16528 Jun 16  2023 kswitch
-rwxr-xr-x 1 root root    38368 Jun 16  2023 ktutil
-rwxr-xr-x 1 root root    27216 Jun 16  2023 kvno
-rwxr-xr-x 1 root root   215016 Apr 30  2024 lz4
lrwxrwxrwx 1 root root        3 Feb 12  2025 lz4c -> lz4
lrwxrwxrwx 1 root root        3 Feb 12  2025 lz4cat -> lz4
lrwxrwxrwx 1 root root        2 Feb 12  2025 lzcat -> xz
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzcmp -> xzdiff
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzdiff -> xzdiff
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzegrep -> xzgrep
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzfgrep -> xzgrep
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzgrep -> xzgrep
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzless -> xzless
lrwxrwxrwx 1 root root        2 Feb 12  2025 lzma -> xz
-rwxr-xr-x 1 root root    17184 Apr 30  2024 lzmadec
-rwxr-xr-x 1 root root    17016 Feb 12  2025 lzmainfo
lrwxrwxrwx 1 root root        6 Feb 12  2025 lzmore -> xzmore
-rwxr-xr-x 1 root root    67488 Aug 17  2023 makeconv
-rwxr-xr-x 1 root root   689792 Dec 17  2024 mamba-package
-rwxr-xr-x 1 root root      229 Feb 12  2025 markdown-it
-rwxr-xr-x 1 root root    21656 Dec 16  2024 mergesolv
-rwxr-xr-x 1 root root     8866 Feb 12  2025 ncursesw6-config
-rwxr-xr-x 1 root root   258632 Oct 11  2023 nghttp
-rwxr-xr-x 1 root root   188568 Oct 11  2023 nghttpd
-rwxr-xr-x 1 root root  1286624 Feb 12  2025 nghttpx
-rwxr-xr-x 1 root root      245 Feb 12  2025 normalizer
-rwxr-xr-x 1 root root   975784 Sep  5  2024 openssl
-rwxr-xr-x 1 root root     2179 Feb 12  2025 pcre2-config
-rwxr-xr-x 1 root root  1681040 May  2  2024 pcre2_jit_test
-rwxr-xr-x 1 root root   658704 May  2  2024 pcre2grep
-rwxr-xr-x 1 root root   605928 May  2  2024 pcre2posix_test
-rwxr-xr-x 1 root root  1972928 May  2  2024 pcre2test
-rwxr-xr-x 1 root root      230 Feb 12  2025 pip
-rwxr-xr-x 1 root root      230 Feb 12  2025 pip3
-rwxr-xr-x 1 root root    50744 Aug 17  2023 pkgdata
lrwxrwxrwx 1 root root        9 Feb 12  2025 pydoc -> pydoc3.12
lrwxrwxrwx 1 root root        9 Feb 12  2025 pydoc3 -> pydoc3.12
-rwxr-xr-x 1 root root       85 Feb 12  2025 pydoc3.12
-rwxr-xr-x 1 root root      224 Feb 12  2025 pygmentize
lrwxrwxrwx 1 root root       10 Feb 12  2025 python -> python3.12
lrwxrwxrwx 1 root root       10 Feb 12  2025 python3 -> python3.12
lrwxrwxrwx 1 root root       17 Feb 12  2025 python3-config -> python3.12-config
lrwxrwxrwx 1 root root       10 Feb 12  2025 python3.1 -> python3.12
-rwxr-xr-x 1 root root 30753048 Feb 12  2025 python3.12
-rwxr-xr-x 1 root root     3416 Feb 12  2025 python3.12-config
-rwxr-xr-x 1 root root    22280 Dec 16  2024 repo2solv
lrwxrwxrwx 1 root root        4 Feb 12  2025 reset -> tset
-rwxr-xr-x 1 root root    17248 Jun 16  2023 sclient
-rwxr-xr-x 1 root root    17152 Jun 16  2023 sim_client
-rwxr-xr-x 1 root root  1777144 Apr 30  2024 sqlite3
-rwxr-xr-x 1 root root    30392 May  3  2024 sqlite3_analyzer
-rwxr-xr-x 1 root root    22424 Jan 26  2023 tabs
lrwxrwxrwx 1 root root        8 Feb 12  2025 tclsh -> tclsh8.6
-rwxr-xr-x 1 root root    15984 May  3  2024 tclsh8.6
-rwxr-xr-x 1 root root    27528 Dec 16  2024 testsolv
-rwxr-xr-x 1 root root    92248 Jan 26  2023 tic
-rwxr-xr-x 1 root root    22424 Jan 26  2023 toe
-rwxr-xr-x 1 root root    22528 Jan 26  2023 tput
-rwxr-xr-x 1 root root      216 Feb 12  2025 tqdm
-rwxr-xr-x 1 root root    30696 Jan 26  2023 tset
lrwxrwxrwx 1 root root        3 Feb 12  2025 unlz4 -> lz4
lrwxrwxrwx 1 root root        2 Feb 12  2025 unlzma -> xz
lrwxrwxrwx 1 root root        2 Feb 12  2025 unxz -> xz
lrwxrwxrwx 1 root root        4 Feb 12  2025 unzstd -> zstd
-rwxr-xr-x 1 root root    21792 Jun 16  2023 uuclient
-rwxr-xr-x 1 root root      217 Feb 12  2025 wheel
lrwxrwxrwx 1 root root        7 Feb 12  2025 wish -> wish8.6
-rwxr-xr-x 1 root root    16136 May  3  2024 wish8.6
-rwxr-xr-x 1 root root  2195376 Sep 26  2024 x86_64-conda-linux-gnu-ld
lrwxrwxrwx 1 root root       25 Feb 12  2025 x86_64-conda_cos7-linux-gnu-ld -> x86_64-conda-linux-gnu-ld
-rwxr-xr-x 1 root root     1899 Feb 12  2025 xml2-config
-rwxr-xr-x 1 root root    26224 Feb 12  2025 xmlcatalog
-rwxr-xr-x 1 root root    83320 Feb 12  2025 xmllint
-rwxr-xr-x 1 root root    41768 Dec 11  2024 xmlwf
-rwxr-xr-x 1 root root   103848 Feb 12  2025 xz
lrwxrwxrwx 1 root root        2 Feb 12  2025 xzcat -> xz
lrwxrwxrwx 1 root root        6 Feb 12  2025 xzcmp -> xzdiff
-rwxr-xr-x 1 root root    17184 Apr 30  2024 xzdec
-rwxr-xr-x 1 root root     7422 Apr 30  2024 xzdiff
lrwxrwxrwx 1 root root        6 Feb 12  2025 xzegrep -> xzgrep
lrwxrwxrwx 1 root root        6 Feb 12  2025 xzfgrep -> xzgrep
-rwxr-xr-x 1 root root    10333 Apr 30  2024 xzgrep
-rwxr-xr-x 1 root root     1813 Apr 30  2024 xzless
-rwxr-xr-x 1 root root     2190 Apr 30  2024 xzmore
-rwxr-xr-x 1 root root   212808 Oct  9  2024 zstd
lrwxrwxrwx 1 root root        4 Feb 12  2025 zstdcat -> zstd
-rwxr-xr-x 1 root root     3869 Mar 21  2024 zstdgrep
-rwxr-xr-x 1 root root      197 Mar 21  2024 zstdless
lrwxrwxrwx 1 root root        4 Feb 12  2025 zstdmt -> zstd
root@7242a3b3b87e:/app# /opt/conda/bin/conda --version
conda 25.1.1
root@7242a3b3b87e:/app# rm -rf /opt/conda/envs/datasci
root@7242a3b3b87e:/app# /opt/conda/bin/conda create -n datasci -y
Channels:
 - defaults
Platform: linux-64
Collecting package metadata (repodata.json): done
Solving environment: done


==> WARNING: A newer version of conda exists. <==
    current version: 25.1.1
    latest version: 26.5.3

Please update conda by running

    $ conda update -n base -c defaults conda



## Package Plan ##

  environment location: /opt/conda/envs/datasci




Downloading and Extracting Packages:

Preparing transaction: done
Verifying transaction: done
Executing transaction: done
#
# To activate this environment, use
#
#     $ conda activate datasci
#
# To deactivate an active environment, use
#
#     $ conda deactivate

root@7242a3b3b87e:/app# source /opt/conda/envs/datasci/bin/activate
bash: /opt/conda/envs/datasci/bin/activate: No such file or directory
root@7242a3b3b87e:/app# pip list
Package Version
------- -------
pip     24.3.1
root@7242a3b3b87e:/app#
