Peak 537 fitted: x0=-17763530.784270037, gamma=10.0, amplitude=-467148.71118423867, offset=649.4130000006987
Peak 627 fitted: x0=13662727.534859452, gamma=10.0, amplitude=284931.7141667563, offset=1001.1829999998055
Peak 628 fitted: x0=-14448738.090708714, gamma=10.0, amplitude=-488493.35895077215, offset=1008.671000509566
Peak 629 fitted: x0=51839930.283918425, gamma=6430183.906395577, amplitude=6690744.826289595, offset=1012.2031835483492
Peak 630 fitted: x0=19488052.659610603, gamma=10.0, amplitude=916720.5534062589, offset=1016.2770004864456
Peak 631 fitted: x0=-56245552.85116407, gamma=10.0, amplitude=-8339353.115757405, offset=1019.7830000002253
Peak 632 fitted: x0=25568582.16646735, gamma=10.0, amplitude=1612103.8911925522, offset=1023.3239994923172
Peak 633 fitted: x0=-20332200.603905775, gamma=10.0, amplitude=-1065999.169699898, offset=1036.2470000000305
Peak 634 fitted: x0=-13143098.842341319, gamma=10.0, amplitude=-296914.40941867844, offset=1041.5699999995513
Peak 635 fitted: x0=51493160.00608449, gamma=10.0, amplitude=6310791.499267074, offset=1045.4219999996612
Peak 636 fitted: x0=-37248038.13563791, gamma=10.0, amplitude=-3652241.9201812083, offset=1051.3239999999685
Peak 637 fitted: x0=-27169921.965623733, gamma=10.0, amplitude=-1934042.4096760885, offset=1057.669000000035
Peak 638 fitted: x0=-18042919.342558708, gamma=2239409.7784795035, amplitude=-811326.2691786637, offset=1063.0639860577842
Peak 639 fitted: x0=824716.9154900621, gamma=156.87619259172473, amplitude=-4.928481040239679e+17, offset=1067.55080163537
Peak 640 fitted: x0=-48315107.49047318, gamma=10.0, amplitude=-6240505.448150328, offset=1072.854
Peak 641 fitted: x0=-39638224.88199524, gamma=10.0, amplitude=-4197086.857064478, offset=1078.7540000001572
Peak 642 fitted: x0=-31304540.346933, gamma=10.0, amplitude=-226681.36706803206, offset=1088.4660000004146
Peak 643 fitted: x0=45402405.60216295, gamma=10.0, amplitude=5203790.808746784, offset=1092.1970000000006
Peak 644 fitted: x0=-36774889.53320887, gamma=10.0, amplitude=-3640506.4347109473, offset=1098.5130000000004
Peak 645 fitted: x0=30749809.876892548, gamma=10.0, amplitude=2397248.3975257487, offset=1105.0439999998582
Peak 646 fitted: x0=41624161.8317243, gamma=10.0, amplitude=229703.95268977282, offset=1109.2060000000363
Peak 647 fitted: x0=45619982.09027765, gamma=10.0, amplitude=5296895.482145737, offset=1113.0980000002683
Peak 648 fitted: x0=18223764.0539936, gamma=10.0, amplitude=811438.9342519755, offset=1116.881999999903
Peak 649 fitted: x0=-56137007.942510515, gamma=10.0, amplitude=-9021167.128446357, offset=1120.5619999996252
Peak 650 fitted: x0=-48896585.64133758, gamma=10.0, amplitude=-6596174.213822536, offset=1132.9450000001727
Peak 651 fitted: x0=40958789.34672885, gamma=10.0, amplitude=4440760.415024106, offset=1146.0660000000182
Peak 652 fitted: x0=-15056606.681436667, gamma=10.0, amplitude=-582979.6858998825, offset=1150.2400000000955
Peak 653 fitted: x0=33208585.507334776, gamma=10.0, amplitude=2913305.530380762, offset=1158.5080000002567
Peak 654 fitted: x0=-14112553.535760887, gamma=10.0, amplitude=-264892.2123897193, offset=1162.378999999825
Peak 655 fitted: x0=-26276649.515268542, gamma=10.0, amplitude=-1999678.1473463487, offset=1171.109
Peak 656 fitted: x0=-69874379.37115148, gamma=10.0, amplitude=-238060.2134073102, offset=1175.2540000000001
Peak 657 fitted: x0=-46167657.22762012, gamma=10.0, amplitude=-6210379.446734863, offset=1179.3970000000472
Peak 658 fitted: x0=-66855879.68294202, gamma=10.0, amplitude=-13029410.873064855, offset=1187.2429999996266
Peak 659 fitted: x0=-42634251.86943119, gamma=10.0, amplitude=-5294483.430954257, offset=1191.277
Peak 660 fitted: x0=-18148690.019264083, gamma=10.0, amplitude=-928175.5051969107, offset=1202.381
Peak 661 fitted: x0=-62687763.20871518, gamma=10.0, amplitude=-11623631.940981153, offset=1206.2780000000414
Peak 662 fitted: x0=-63253940.9550354, gamma=10.0, amplitude=-11662651.28487461, offset=1212.8510000002013
Peak 663 fitted: x0=545618.2964346083, gamma=406.8011124367737, amplitude=-1989.501009808636, offset=1225.7705136534482
Peak 664 fitted: x0=-18007506.470849965, gamma=10.0, amplitude=-913277.5317297538, offset=1228.006
Peak 665 fitted: x0=-10001391.32405383, gamma=82516.21687957179, amplitude=-6497091.913145693, offset=1232.1620000040398
Peak 666 fitted: x0=67444736.75068036, gamma=5177140.225248748, amplitude=12783761.817254685, offset=1239.1630000000011
Peak 667 fitted: x0=44550878.16013917, gamma=10.0, amplitude=5573273.576059436, offset=1243.5309999995484
Peak 668 fitted: x0=839490.3206235813, gamma=403546.0619393643, amplitude=-130.1736721725962, offset=1344.6337258393576
Peak 669 fitted: x0=29085102.020296957, gamma=10.0, amplitude=2402666.1017565546, offset=1268.263000000038
Peak 670 fitted: x0=32263683.604748823, gamma=-3842446.96794469, amplitude=2944889.26811025, offset=1274.9090112310464
Peak 671 fitted: x0=-12903494.395750305, gamma=10.0, amplitude=-394583.693686623, offset=1279.2710000000004
Peak 672 fitted: x0=39477001.29039666, gamma=10.0, amplitude=4503889.003646154, offset=1288.8920000004366
Peak 673 fitted: x0=-18320172.544443816, gamma=10.0, amplitude=-996886.3450611362, offset=1293.4290000000228
Peak 674 fitted: x0=-67100212.155105084, gamma=10.0, amplitude=-13793609.483059976, offset=1297.7590000010687
Peak 675 fitted: x0=-46892051.18530617, gamma=10.0, amplitude=-6733621.479408937, offset=1301.936000000351
Peak 676 fitted: x0=-51691592.28099262, gamma=10.0, amplitude=-8508604.433386886, offset=1309.6390000002596
Peak 677 fitted: x0=58490990.34245767, gamma=10.0, amplitude=10293177.524765344, offset=1316.141999999948
Peak 678 fitted: x0=29567746.63112616, gamma=-1590929.6251205252, amplitude=4530503.217814249, offset=1320.4729999999993
Peak 679 fitted: x0=-18313827.495890353, gamma=10.0, amplitude=-1036532.9321462237, offset=1325.2939999999942
Peak 680 fitted: x0=24683384.435198646, gamma=10.0, amplitude=1815935.94025844, offset=1332.834999999252
Peak 681 fitted: x0=151710.68491525282, gamma=216920.62944358747, amplitude=132.47630469491085, offset=1284.6348719963862
Peak 682 fitted: x0=13663762.462136125, gamma=10.0, amplitude=475771.6680603493, offset=1344.4669999999767
Peak 683 fitted: x0=61957020.35960246, gamma=10.0, amplitude=11941890.968202045, offset=1349.1839999998558
Peak 684 fitted: x0=758691.4155956585, gamma=288994.70371918206, amplitude=-133.1705175234063, offset=1434.6614271943768
Peak 685 fitted: x0=13638791.6986492, gamma=10.0, amplitude=301364.9927759054, offset=1362.9080000000006
Peak 686 fitted: x0=-15786391.10798259, gamma=10.0, amplitude=-747892.0069042407, offset=1370.2379999999994
Peak 687 fitted: x0=68659018.94277757, gamma=10.0, amplitude=14194993.739904925, offset=1374.8090000000002
Peak 688 fitted: x0=50462488.77860221, gamma=10.0, amplitude=7664345.991885008, offset=1379.9489999996965
Peak 689 fitted: x0=-31546435.74257654, gamma=10.0, amplitude=-3240809.433870143, offset=1385.353
Peak 690 fitted: x0=15586730.424440656, gamma=10.0, amplitude=695841.0919120254, offset=1390.1350000002487
Peak 691 fitted: x0=-23300773.531537496, gamma=10.0, amplitude=-1839568.8553510907, offset=1397.6880000000003
Peak 692 fitted: x0=60564294.687111035, gamma=10.0, amplitude=11859092.337204793, offset=1407.4709999999247
Peak 693 fitted: x0=-68650538.69428857, gamma=10.0, amplitude=-16129538.027208706, offset=1415.3030000000115
Peak 694 fitted: x0=-52136467.29770005, gamma=10.0, amplitude=-9301170.816739973, offset=1420.1499999996122
Peak 695 fitted: x0=-35801102.33433275, gamma=10.0, amplitude=-4379987.046282917, offset=1425.1409999999403
Peak 696 fitted: x0=-30392294.138106972, gamma=10.0, amplitude=-3151333.4930988485, offset=1437.541999999814
Peak 697 fitted: x0=-41436945.904327035, gamma=10.0, amplitude=-5872075.592106796, offset=1444.5310000000286
Peak 698 fitted: x0=-12731276.044483535, gamma=10.0, amplitude=-449960.5868898209, offset=1455.1760000000836
Peak 699 fitted: x0=-22372068.16185792, gamma=-2897821.1093278504, amplitude=-1710557.4689979118, offset=1463.1648465090702
Peak 700 fitted: x0=-34360900.9272969, gamma=10.0, amplitude=-4075805.011201264, offset=1470.9310000001412
Peak 701 fitted: x0=-19758137.479945485, gamma=10.0, amplitude=-1322728.242223673, offset=1476.0470000000003
Peak 702 fitted: x0=-17654672.327686533, gamma=10.0, amplitude=-276306.21545703907, offset=1481.2970000000043
Peak 703 fitted: x0=26009854.45101856, gamma=10.0, amplitude=271889.06622731604, offset=1494.4680000001595
Peak 704 fitted: x0=-44356103.87216924, gamma=10.0, amplitude=-6800273.417922099, offset=1504.6270000000657
Peak 705 fitted: x0=17620819.105234705, gamma=-2135303.266916233, amplitude=974251.2592666262, offset=1515.1280496277611
Peak 706 fitted: x0=-30837920.61389212, gamma=10.0, amplitude=-3279155.652310453, offset=1523.0530000000642
Peak 707 fitted: x0=21064136.436224602, gamma=10.0, amplitude=274649.76782570657, offset=1533.859999999999
Peak 708 fitted: x0=-19295754.224767186, gamma=10.0, amplitude=-1258879.285963607, offset=1542.0599999998797
Peak 709 fitted: x0=-14569895.363858558, gamma=10.0, amplitude=-291584.07240606396, offset=1547.8060000001635
Peak 710 fitted: x0=-21666038.173247617, gamma=10.0, amplitude=-1636083.1426261296, offset=1555.9919999998615
Peak 711 fitted: x0=38615275.910851814, gamma=10.0, amplitude=4683780.368934532, offset=1564.5840000003082
Peak 712 fitted: x0=-53498041.03931846, gamma=10.0, amplitude=-9782543.202805365, offset=1572.7310000000748
Peak 713 fitted: x0=978019319.0263466, gamma=10.0, amplitude=580730.5520224512, offset=1580.7479999998893
Peak 714 fitted: x0=47329876.296709225, gamma=10.0, amplitude=7223431.369408712, offset=1591.2090000001574
Peak 715 fitted: x0=-63090287.718393154, gamma=10.0, amplitude=-13616390.184245504, offset=1599.4450000000384
Peak 716 fitted: x0=19488466.78518205, gamma=10.0, amplitude=705774.0824554525, offset=1607.5810000000913
Peak 717 fitted: x0=70285024.94039619, gamma=10.0, amplitude=16165444.378575765, offset=1612.9420000001146
Peak 718 fitted: x0=-19938482.94951285, gamma=10.0, amplitude=-1185572.100908835, offset=1620.7480000001435
Peak 719 fitted: x0=-27501851.00373336, gamma=10.0, amplitude=-594726.0929328967, offset=1626.6139999998982
Peak 720 fitted: x0=55931703.71799151, gamma=10.0, amplitude=10280059.793191744, offset=1637.6979999999646
Peak 721 fitted: x0=34408924.91636656, gamma=10.0, amplitude=3849263.724870163, offset=1648.9440000000118
Peak 722 fitted: x0=-52425532.29797511, gamma=10.0, amplitude=-9550707.102662101, offset=1656.7609999997942
Peak 723 fitted: x0=77612492.41554745, gamma=10.0, amplitude=586671.666858265, offset=1664.6949999998299
Peak 724 fitted: x0=19482307.62538725, gamma=10.0, amplitude=812807.2336481437, offset=1678.6669999994017
Peak 725 fitted: x0=-33048551.71702527, gamma=10.0, amplitude=-3767956.8010290465, offset=1687.5610000000202
Peak 726 fitted: x0=-177397178.99775374, gamma=-43118569.502615, amplitude=3838858.146756111, offset=920.3566657428985
Peak 727 fitted: x0=-35118050.06386918, gamma=10.0, amplitude=-4364997.116122276, offset=1707.6759999999176
Peak 728 fitted: x0=57798964.27822159, gamma=10.0, amplitude=11269109.941846903, offset=1716.2260000001502
Peak 729 fitted: x0=48753962.68731589, gamma=10.0, amplitude=7985150.251711473, offset=1721.9980000000612
Peak 730 fitted: x0=71077639.42332321, gamma=10.0, amplitude=17014796.070433777, offset=1730.3550000002401
Peak 731 fitted: x0=62312678.209184736, gamma=10.0, amplitude=13468568.429516984, offset=1735.897
Peak 732 fitted: x0=-52182172.547461614, gamma=10.0, amplitude=-10133081.633017145, offset=1742.0290000007042
Peak 733 fitted: x0=-36241897.54626678, gamma=10.0, amplitude=-646821.1312122437, offset=1750.2430000000522
Peak 734 fitted: x0=872510.8867494871, gamma=-1491.0106412228924, amplitude=-1723.5234400211152, offset=1763.8175630259282
Peak 735 fitted: x0=52216908.93621987, gamma=10.0, amplitude=9583816.288410688, offset=1766.8079999999275
Peak 736 fitted: x0=-41204873.95990343, gamma=10.0, amplitude=-644440.5968143449, offset=1775.1370000000006
Peak 737 fitted: x0=-72609599.04470551, gamma=10.0, amplitude=-17959864.702443495, offset=1780.8909999999025
Peak 738 fitted: x0=60788230.965443194, gamma=10.0, amplitude=13001942.773409639, offset=1786.4899999999382
Peak 739 fitted: x0=-18607783.990003213, gamma=10.0, amplitude=-917474.3605519448, offset=1795.7839999999997
Peak 740 fitted: x0=32027748.395223703, gamma=10.0, amplitude=3554243.8018808174, offset=1810.5510000000002
Peak 741 fitted: x0=57010010.89779104, gamma=10.0, amplitude=11465259.263827678, offset=1819.771999999991
Peak 742 fitted: x0=-48838206.38744708, gamma=10.0, amplitude=-8896133.555834796, offset=1825.8689999998915
Peak 743 fitted: x0=-42806709.20901173, gamma=10.0, amplitude=-6386112.38680295, offset=1831.6309999999983
Peak 744 fitted: x0=37860273.96234871, gamma=10.0, amplitude=4665839.784869058, offset=1837.1269999999995
Peak 745 fitted: x0=870348.849037654, gamma=21352.16532792606, amplitude=-119.7754431934401, offset=1851.6252880990262
Peak 746 fitted: x0=57203262.01464184, gamma=10.0, amplitude=10874890.158254355, offset=1852.0199999999998
Peak 747 fitted: x0=45382963.50209848, gamma=10.0, amplitude=6795540.856768781, offset=1863.9009999998073
Peak 748 fitted: x0=1418464413.7559142, gamma=10.0, amplitude=1184161.6020785074, offset=1873.4589999999866
Peak 749 fitted: x0=30263371.651666522, gamma=10.0, amplitude=2888432.8142699213, offset=1882.5569999999768
Peak 750 fitted: x0=-26304875.82925871, gamma=10.0, amplitude=-2061434.8423472014, offset=1888.4569999999912
Peak 751 fitted: x0=50454239.088887356, gamma=-6005133.573218642, amplitude=8702715.502745435, offset=1897.495036997502
Peak 752 fitted: x0=-39646926.66396219, gamma=10.0, amplitude=-5539939.975207001, offset=1909.442999999792
Peak 753 fitted: x0=-31503187.545741774, gamma=10.0, amplitude=-3314361.8112777337, offset=1921.0839999999541
Peak 754 fitted: x0=29131427.19906058, gamma=10.0, amplitude=2519624.985947262, offset=1926.7580000000203
Peak 755 fitted: x0=257558.2101282504, gamma=13648.200446891547, amplitude=-313.730973488768, offset=1945.3924776529395
Peak 756 fitted: x0=27742570.106961865, gamma=10.0, amplitude=1547723.1285030786, offset=1938.1830000000004
Peak 757 fitted: x0=-32451712.786026295, gamma=10.0, amplitude=-1344961.9459704384, offset=1943.5779999999177
Peak 758 fitted: x0=47970214.6199656, gamma=10.0, amplitude=1274426.362260236, offset=1949.3369999997367
Peak 759 fitted: x0=71512551.64434229, gamma=10.0, amplitude=17421937.018221725, offset=1961.3840000000184
Peak 760 fitted: x0=-65771419.67337461, gamma=10.0, amplitude=-16417860.060270974, offset=1967.6410000003084
Peak 761 fitted: x0=63965078.82690733, gamma=10.0, amplitude=14662508.64247721, offset=1973.7130000001919
Peak 762 fitted: x0=27299873.75576573, gamma=10.0, amplitude=2213306.714024982, offset=1982.9419999842094
Peak 763 fitted: x0=936807.7247645163, gamma=5307.708236348907, amplitude=-818.6441731633496, offset=2003.9227624844816
Peak 764 fitted: x0=47397730.17862968, gamma=10.0, amplitude=7980724.07644419, offset=2002.7089999841794
Peak 765 fitted: x0=54100068.105110876, gamma=10.0, amplitude=1269628.945107559, offset=2011.2769999998725
Peak 766 fitted: x0=-38065002.36692224, gamma=10.0, amplitude=-5358392.753796484, offset=2019.6810000000405
Peak 767 fitted: x0=-35715341.64850839, gamma=10.0, amplitude=-4672989.391387356, offset=2025.195000000507
Peak 768 fitted: x0=34494258.274766915, gamma=10.0, amplitude=4074085.2395779705, offset=2031.0980000000152
Peak 769 fitted: x0=65265296.92620195, gamma=10.0, amplitude=15268949.844115213, offset=2039.8170000000002
Peak 770 fitted: x0=212643.58251773365, gamma=15768008.497156233, amplitude=45930.94013602397, offset=-43866.91100090731
Peak 771 fitted: x0=55186132.241556816, gamma=10.0, amplitude=10881570.703796154, offset=2069.058
Peak 772 fitted: x0=53455747.08600524, gamma=10.0, amplitude=11210863.783517884, offset=2076.0129999999317
Peak 773 fitted: x0=-47757152.37867615, gamma=10.0, amplitude=-9443345.606525926, offset=2095.370000000234
Peak 774 fitted: x0=-45512784.40927925, gamma=10.0, amplitude=-8559099.322769593, offset=2107.6529999996424
Peak 775 fitted: x0=-43704497.028960235, gamma=10.0, amplitude=-7876214.043880264, offset=2120.250999999578
Peak 776 fitted: x0=-43277152.362660594, gamma=10.0, amplitude=-1280085.0012944157, offset=2129.8439999988054
Peak 777 fitted: x0=-50923921.25752408, gamma=10.0, amplitude=-1271283.5484662852, offset=2142.5970000000075
Peak 778 fitted: x0=-41043007.68844378, gamma=10.0, amplitude=-6918797.563787295, offset=2152.201000000712
Peak 779 fitted: x0=41997823.79952747, gamma=10.0, amplitude=6845541.470904574, offset=2158.628
Peak 780 fitted: x0=41875794.07802201, gamma=10.0, amplitude=6804414.091729005, offset=2164.7529999996445
Peak 781 fitted: x0=-40772194.14550802, gamma=10.0, amplitude=-6824329.223114312, offset=2177.3310000000797
Peak 782 fitted: x0=-55430371.66692568, gamma=10.0, amplitude=-1268669.6535650613, offset=2187.3560000002863
Peak 783 fitted: x0=-48469509.75938662, gamma=10.0, amplitude=-1273265.6110928745, offset=2200.545000000824
Peak 784 fitted: x0=3780392.041672473, gamma=634138.5776892594, amplitude=-724625.3971720204, offset=2213.512957720276
Peak 785 fitted: x0=41227253.513287224, gamma=10.0, amplitude=1288923.963359242, offset=2212.915000000116
Peak 786 fitted: x0=-37376056.30769475, gamma=10.0, amplitude=-1295912.6856850868, offset=2219.21299999969
Peak 787 fitted: x0=-34213989.85458597, gamma=10.0, amplitude=-1312201.4203709469, offset=2225.463999999982
Peak 788 fitted: x0=31846113.47691916, gamma=10.0, amplitude=1340519.9271739244, offset=2232.048999999078
Peak 789 fitted: x0=441917.17507730686, gamma=6483729.6221825825, amplitude=5007.618731621439, offset=-2760.431267062927
